gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
169189553800,w,7,Nxg6+,3.2,f7,20,335,192,-172,discovered,false,offer,0,0,strong,0
169189553800,w,8,Qxh8,-5,,-51,51,-183,132,direct,true,allow,0,3.2,sound,0
169135347664,b,12,g6,2.2,h6,63,22,-310,373,discovered,false,offer,0.8,0,,0
169135347664,b,15,Nc6,0,,80,332,412,-332,direct,true,allow,5,0,strong,0
169135347664,b,23,Ke7,0,,-71,32,-252,181,direct,false,allow,3,0,sound,0
169135347664,b,24,Rxh8,-3.2,,-31,-1,-150,119,direct,false,allow,1,3,sound,0
169001367082,w,8,Nb4,3,b4,-535,241,-294,-241,direct,true,offer,0,0,sound,0
169001367082,w,15,Qb1,9,b1,-1274,643,-631,-643,direct,true,offer,0,0,sound,0
168892527956,w,26,Qxa8,-5,,1442,98538,99980,-98538,direct,false,allow,3,0,strong,0
168880935172,b,11,Nd4,0,,158,-5,141,17,direct,false,allow,2.2,0,necessary,0
168880935172,b,16,Bxf2+,3.2,f2,110,338,448,-338,direct,true,offer,0,0,strong,0
168880935172,b,17,Nc2,3,c2,-99990,100077,87,-100077,direct,false,offer,1,0,sound,0
168855505510,w,11,Nf6+,3,f6,-80,824,744,-824,direct,true,offer,0,0,sound,0
168855505510,w,12,Qxd4,3.2,b5,-117,-37,-154,37,discovered,false,offer,0,0,sound,0
168855505510,w,14,Bg5+,3.2,g5,146,168,314,-168,direct,true,offer,0,0,strong,0
168855505510,w,17,Bd5+,3.2,d5,408,109,517,-109,direct,true,offer,0,0,necessary,0
168855505510,w,18,Be3+,0.2,e3,415,90,505,-90,direct,true,allow,0,3.2,necessary,0
168855234716,b,15,Kd7,0,,747,397,1144,-397,direct,false,allow,3.2,0,strong,0
168855234716,b,16,Ke7,0,,943,28,971,-28,direct,false,allow,0,3.2,necessary,0
168850401650,w,10,Bc4,3.2,c4,-266,532,266,-532,direct,true,offer,0,0,sound,0
168850401650,w,15,Nxd6,3,d6,-168,467,299,-467,direct,true,offer,0,0,sound,0
168850401650,w,16,Bxd6,3.2,d6,-444,263,-181,-263,direct,true,offer,0,0,sound,0
168850401650,w,20,exd8=Q+,4,d8,-244,2,,,promotion,true,offer,0,0,sound,0
168850401650,w,25,Rc8,5,c8,-601,160,-441,-160,direct,true,offer,1,0,sound,0
168765809026,w,5,Nf7,3,f7,-368,885,517,-885,direct,true,offer,0,0,sound,0
168765809026,w,9,Qb4,5.8,b4,-703,309,-394,-309,direct,true,offer,0,0,sound,0
